MeType
EME
MRS
Router_6672
UPG
CEE
WCG
MRF
DUA-S
GGSN
DNSServerBGF
EIR
DSC
HLRServer
MSCServer
SDNC-P
BBSC
MGW
GMPC
SPP
SDC
HP-MRFP
